ID,PA,PB,PC,PD,PE,PF,PG
PR40001,2980,1441,786,470,303,207,148
PR40002,2981,1441,786,470,303,207,148
PR40003,2981,1441,786,470,303,207,148
PR40004,2982,1442,786,470,303,207,148
PR40005,2983,1442,786,470,303,207,148
PR40006,2985,1443,787,471,303,208,148
PR40007,2985,1443,787,471,303,208,148
PR40008,2986,1443,787,471,304,208,148
PR40009,2987,1444,787,471,304,208,148
PR40010,2987,1444,787,471,304,208,148
PR40011,2988,1444,787,471,304,208,148
PR40012,2988,1444,787,471,304,208,148
PR40013,2989,1445,788,471,304,208,148
PR40014,2990,1445,788,471,304,208,148
PR40015,2990,1445,788,471,304,208,148
PR40016,2991,1446,788,471,304,208,148
PR40017,2992,1446,788,472,304,208,148
PR40018,2992,1446,788,472,304,208,148
PR40019,2995,1447,789,472,304,208,148
PR40020,2996,1448,789,472,304,208,148
PR40021,2997,1448,789,472,304,208,148
PR40022,2998,1449,790,472,304,208,148
PR40023,2999,1449,790,472,304,208,148
PR40024,2999,1449,790,472,305,208,148
PR40025,3000,1449,790,473,305,208,148
PR40026,3001,1450,790,473,305,208,148
PR40027,3001,1450,790,473,305,208,148
PR40028,3002,1450,790,473,305,208,148
PR40029,3003,1451,791,473,305,208,148
PR40030,3003,1451,791,473,305,208,148
PR40031,3004,1451,791,473,305,208,148
PR40032,3004,1451,791,473,305,208,148
PR40033,3005,1452,791,473,305,208,148
PR40034,3006,1452,791,473,305,208,148
PR40035,3006,1452,791,473,305,209,149
PR40036,3007,1453,792,473,305,209,149
PR40037,3008,1453,792,474,305,209,149
PR40038,3009,1453,792,474,305,209,149
PR40039,3010,1454,792,474,305,209,149
PR40040,3010,1454,792,474,305,209,149
PR40041,3011,1454,792,474,305,209,149
PR40042,3013,1455,793,474,306,209,149
PR40043,3015,1456,793,474,306,209,149
PR40044,3016,1457,794,474,306,209,149
PR40045,3017,1457,794,475,306,209,149
PR40046,3017,1457,794,475,306,209,149
PR40047,3022,1459,795,475,306,209,149
PR40048,3048,1471,801,478,308,210,150
PR40049,3050,1471,801,479,308,211,150
PR40050,3050,1472,801,479,308,211,150
PR40051,3051,1472,801,479,308,211,150
PR40052,3052,1472,801,479,308,211,150
PR40053,3052,1472,801,479,308,211,150
PR40054,3008,1453,792,473,305,209,149
PR40055,3031,1463,797,476,307,210,149
PR40056,3032,1464,797,476,307,210,149
PR40057,3035,1465,798,477,307,210,149
PR40058,3039,1466,798,477,307,210,150
PR40059,3039,1467,799,477,307,210,150
PR40060,3041,1468,799,478,308,210,150
PR40061,3042,1468,799,478,308,210,150
PR40062,3044,1469,800,478,308,210,150
PR40063,3044,1469,800,478,308,210,150
PR40064,3047,1470,800,478,308,210,150
PR40065,3049,1471,801,478,308,210,150
PR40066,3056,1474,802,479,309,211,150
PR40067,3058,1475,803,480,309,211,150
PR40068,3059,1476,803,480,309,211,150
PR40069,3060,1476,803,480,309,211,150
PR40070,3064,1478,804,480,309,211,150
PR40071,3093,1490,810,484,311,212,151
PR40072,3094,1491,811,484,311,213,151
PR40073,3099,1493,812,485,312,213,151
PR40074,426801,131337,49190,21426,10507,5672,3304
PR40075,3012,1455,793,474,305,209,149
PR40076,3019,1458,794,475,306,209,149
PR40077,3027,1461,796,476,307,209,149
PR40078,3078,1484,807,482,310,212,151
PR40079,3079,1484,807,482,310,212,151
PR40080,3080,1485,808,482,310,212,151
PR40081,3054,1473,802,479,308,211,150
PR40082,3055,1474,802,479,309,211,150
PR40083,3056,1474,802,479,309,211,150
PR40084,3057,1474,802,479,309,211,150
PR40085,3057,1475,803,479,309,211,150
PR40086,3059,1475,803,480,309,211,150
PR40087,3061,1476,803,480,309,211,150
PR40088,3061,1476,803,480,309,211,150
PR40089,3062,1477,804,480,309,211,150
PR40090,3063,1477,804,480,309,211,150
PR40091,3063,1477,804,480,309,211,150
PR40092,3065,1478,804,480,309,211,150
PR40093,3065,1478,804,480,309,211,150
PR40094,3066,1478,804,481,309,211,150
PR40095,3067,1479,805,481,309,211,150
PR40096,3067,1479,805,481,309,211,150
PR40097,3068,1479,805,481,309,211,150
PR40098,3069,1480,805,481,310,211,150
PR40099,3069,1480,805,481,310,211,150
PR40100,3070,1480,805,481,310,211,150
PR40101,3071,1480,805,481,310,211,150
PR40102,3071,1481,806,481,310,212,151
PR40103,3072,1481,806,481,310,212,151
PR40104,3072,1481,806,481,310,212,151
PR40105,3073,1482,806,481,310,212,151
PR40106,3074,1482,806,481,310,212,151
PR40107,3074,1482,806,482,310,212,151
PR40108,3075,1482,806,482,310,212,151
PR40109,3076,1483,807,482,310,212,151
PR40110,3076,1483,807,482,310,212,151
PR40111,3077,1483,807,482,310,212,151
PR40112,3078,1484,807,482,310,212,151
PR40113,3080,1484,807,482,310,212,151
PR40114,3084,1486,808,483,311,212,151
PR40115,3085,1487,809,483,311,212,151
PR40116,3086,1487,809,483,311,212,151
