ID,PA,PB,PC,PD,PE,PF,PG
PR40001,2981,1441,787,471,303,207,148
PR40002,2982,1441,787,471,303,207,148
PR40003,2982,1441,787,471,303,207,148
PR40004,2983,1442,787,471,303,207,148
PR40005,2984,1442,787,471,303,207,148
PR40006,2984,1442,788,471,303,207,148
PR40007,2985,1442,788,471,303,208,148
PR40008,2985,1443,788,471,303,208,148
PR40009,2986,1443,788,471,303,208,148
PR40010,2987,1443,788,471,303,208,148
PR40011,2987,1444,788,471,303,208,148
PR40012,2988,1444,788,471,303,208,148
PR40013,2989,1444,789,471,303,208,148
PR40014,2989,1444,789,471,303,208,148
PR40015,2990,1445,789,472,303,208,148
PR40016,2990,1445,789,472,303,208,148
PR40017,2991,1445,789,472,304,208,148
PR40018,2992,1445,789,472,304,208,148
PR40019,2992,1446,789,472,304,208,148
PR40020,2993,1446,789,472,304,208,148
PR40021,2993,1446,790,472,304,208,148
PR40022,2994,1446,790,472,304,208,148
PR40023,2995,1447,790,472,304,208,148
PR40024,2995,1447,790,472,304,208,148
PR40025,2996,1447,790,472,304,208,148
PR40026,2996,1448,790,472,304,208,148
PR40027,2997,1448,790,472,304,208,148
PR40028,2998,1448,791,473,304,208,148
PR40029,2998,1448,791,473,304,208,148
PR40030,2999,1449,791,473,304,208,148
PR40031,2999,1449,791,473,304,208,148
PR40032,3000,1449,791,473,304,208,148
PR40033,3001,1449,791,473,304,208,148
PR40034,3001,1450,791,473,304,208,148
PR40035,3002,1450,792,473,304,208,148
PR40036,3003,1450,792,473,304,208,148
PR40037,3003,1450,792,473,304,208,148
PR40038,3004,1451,792,473,304,208,148
PR40039,3004,1451,792,473,305,208,148
PR40040,3005,1451,792,473,305,208,148
PR40041,3006,1452,792,473,305,208,148
PR40042,3006,1452,792,474,305,209,149
PR40043,3007,1452,793,474,305,209,149
PR40044,3007,1452,793,474,305,209,149
PR40045,3008,1453,793,474,305,209,149
PR40046,3009,1453,793,474,305,209,149
PR40047,3009,1453,793,474,305,209,149
PR40048,3010,1453,793,474,305,209,149
PR40049,3010,1454,793,474,305,209,149
