ID,PA,PB,PC,PD,PE,PF,PG
PR40001,690.6405574337114,363.45446069270974,214.01528080982996,137.30062485720538,94.16986521817819,68.10550438538002,51.404900505517986
PR40002,690.6485128776249,363.4585998382804,214.0176889150265,137.3021503771035,94.17089785140314,68.10624111708404,51.40544886086795
PR40003,690.6564681226646,363.4627388803792,214.02009696002426,137.30367585886614,94.17193045881396,68.10697783037097,51.40599720250992
PR40004,690.664423168841,363.46687781901096,214.0225049448261,137.30520130249505,94.17296304041179,68.10771452524165,51.40654553044453
PR40005,690.6723780161637,363.47101665418086,214.02491286943518,137.30672670799214,94.17399559619798,68.10845120169705,51.40709384467249
PR40006,690.6803326646423,363.47515538589414,214.02732073385437,137.30825207535935,94.17502812617386,68.10918785973809,51.40764214519447
PR40007,690.688287114287,363.47929401415604,214.02972853808683,137.3097774045986,94.17606063034071,68.10992449936566,51.408190432011196
PR40008,690.6962413651077,363.48343253897133,214.0321362821354,137.31130269571173,94.17709310869975,68.11066112058063,51.408738705123284
PR40009,690.7041954171145,363.4875709603457,214.03454396600307,137.31282794870077,94.17812556125227,68.11139772338407,51.40928696453145
PR40010,690.7121492703168,363.4917092782839,214.036951589693,137.31435316356732,94.17915798799964,68.11213430777673,51.409835210236395
PR40011,690.7201029247253,363.4958474927914,214.03935915320812,137.31587834031376,94.18019038894312,68.11287087375968,51.41038344223878
PR40012,690.7280563803492,363.49998560387326,214.04176665655143,137.31740347894157,94.181222764084,68.11360742133371,51.41093166053932
PR40013,690.7360096371995,363.5041236115346,214.04417409972598,137.31892857945292,94.1822551134236,68.11434395049986,51.41147986513869
PR40014,690.7439626952855,363.508261515781,214.04658148273484,137.3204536418496,94.18328743696316,68.11508046125897,51.4120280560376
PR40015,690.7519155546165,363.5123993166171,214.04898880558085,137.32197866613348,94.18431973470393,68.11581695361195,51.41257623323665
PR40016,690.7598682152034,363.516537014048,214.05139606826708,137.32350365230656,94.18535200664729,68.11655342755984,51.413124396736606
PR40017,690.7678206770552,363.52067460807916,214.0538032707965,137.32502860037067,94.18638425279443,68.11728988310335,51.413672546538095
PR40018,690.7757729401828,363.524812098716,214.05621041317238,137.32655351032776,94.18741647314675,68.11802632024359,51.414220682641854
PR40019,690.7837250045964,363.52894948596327,214.05861749539747,137.32807838217985,94.18844866770553,68.11876273898145,51.41476880504857
PR40020,690.791676870304,363.533086769826,214.0610245174746,137.32960321592844,94.18948083647194,68.11949913931772,51.41531691375883
PR40021,690.7996285373174,363.5372239503099,214.0634314794072,137.33112801157603,94.19051297944742,68.1202355212535,51.415865008773466
PR40022,690.8075800056458,363.5413610274197,214.0658383811981,137.33265276912397,94.19154509663315,68.12097188478958,51.416413090093045
PR40023,690.8155312752997,363.5454980011609,214.06824522285012,137.33417748857454,94.1925771880305,68.12170822992692,51.416961157718305
PR40024,690.8234823462881,363.5496348715385,214.0706520043667,137.33570216992945,94.19360925364072,68.1224445566665,51.41750921164996
PR40025,690.8314332186214,363.55377163855724,214.07305872575023,137.33722681319063,94.194641293465,68.12318086500909,51.41805725188857
PR40026,690.8393838923098,363.55790830222327,214.07546538700433,137.33875141836012,94.19567330750482,68.12391715495579,51.41860527843497
PR40027,690.8473343673627,363.5620448625407,214.0778719881315,137.34027598543963,94.19670529576126,68.12465342650734,51.419153291289746
PR40028,690.8552846437906,363.5661813195154,214.08027852913528,137.3418005144312,94.19773725823586,68.1253896796648,51.419701290453645
PR40029,690.863234721603,363.57031767315243,214.08268501001817,137.34332500533668,94.1987691949297,68.12612591442905,51.42024927592732
PR40030,690.8711846008096,363.57445392345653,214.08509143078334,137.34484945815785,94.19980110584407,68.12686213080093,51.42079724771139
PR40031,690.8791342814206,363.57859007043317,214.08749779143386,137.34637387289678,94.20083299098036,68.12759832878146,51.42134520580663
PR40032,690.8870837634468,363.5827261140878,214.08990409197293,137.3478982495555,94.20186485033992,68.12833450837155,51.42189315021375
PR40033,690.8950330468965,363.58686205442496,214.09231033240303,137.3494225881356,94.20289668392383,68.12907066957206,51.42244108093334
PR40034,690.9029821317808,363.59099789145034,214.0947165127276,137.35094688863916,94.20392849173356,68.12980681238395,51.422988997966115
PR40035,690.9109310181088,363.5951336251687,214.09712263294932,137.35247115106796,94.20496027377021,68.13054293680807,51.42353690131279
PR40036,690.9188797058914,363.5992692555858,214.09952869307165,137.35399537542418,94.2059920300353,68.1312790428455,51.42408479097401
PR40037,690.9268281951372,363.60340478270587,214.10193469309706,137.3555195617093,94.20702376052992,68.132015130497,51.42463266695049
PR40038,690.9347764858576,363.6075402065351,214.10434063302898,137.35704370992568,94.20805546525548,68.13275119976356,51.42518052924291
PR40039,690.9427245780621,363.611675527078,214.10674651287036,137.35856782007494,94.2090871442133,68.13348725064611,51.425728377851925
PR40040,690.9506724717594,363.61581074433957,214.1091523326237,137.36009189215878,94.21011879740439,68.13422328314545,51.42627621277822
PR40041,690.9586201669608,363.61994585832554,214.11155809229263,137.36161592617958,94.21115042483041,68.13495929726264,51.4268240340225
PR40042,690.9665676636755,363.62408086904065,214.11396379187988,137.36313992213906,94.21218202649237,68.13569529299855,51.427371841585455
PR40043,690.9745149619143,363.6282157764906,214.11636943138853,137.36466388003902,94.21321360239176,68.13643127035414,51.42791963546779
PR40044,690.9824620616855,363.6323505806797,214.1187750108213,137.3661877998814,94.21424515252966,68.1371672293302,51.4284674156701
PR40045,690.9904089630008,363.63648528161366,214.12118053018162,137.36771168166814,94.21527667690754,68.13790316992782,51.429015182193154
PR40046,690.9983556658685,363.64061987929745,214.1235859894722,137.36923552540105,94.21630817552659,68.13863909214774,51.42956293503758
PR40047,691.0063021703004,363.64475437373676,214.1259913886962,137.37075933108218,94.21733964838813,68.13937499599103,51.430110674204116
PR40048,691.0142484763046,363.6488887649359,214.1283967278565,137.37228309871335,94.21837109549341,68.14011088145855,51.430658399693414
PR40049,691.0221945838916,363.6530230529006,214.13080200695606,137.37380682829638,94.21940251684373,68.14084674855116,51.43120611150613
PR40050,691.0301404930724,363.65715723763606,214.13320722599826,137.37533051983343,94.22043391244051,68.14158259726992,51.43175380964303
PR40051,691.0380862038551,363.6612913191468,214.1356123849855,137.37685417332608,94.22146528228478,68.14231842761558,51.43230149410468
PR40052,691.0460317162506,363.66542529743856,214.1380174839212,137.3783777887764,94.22249662637796,68.14305423958916,51.43284916489185
PR40053,691.0539770302685,363.6695591725163,214.14042252280808,137.3799013661863,94.22352794472135,68.14379003319152,51.433396822005164
PR40054,691.0619221459192,363.6736929443855,214.14282750164966,137.3814249055577,94.22455923731627,68.14452580842368,51.43394446544539
PR40055,691.0698670632119,363.6778266130507,214.14523242044822,137.38294840689224,94.2255905041639,68.14526156528638,51.43449209521313
PR40056,691.0778117821569,363.68196017851733,214.14763727920717,137.38447187019216,94.22662174526556,68.14599730378069,51.43503971130909
PR40057,691.0857563027644,363.68609364079066,214.15004207792958,137.38599529545917,94.2276529606226,68.14673302390753,51.435587313733976
PR40058,691.0937006250442,363.6902269998759,214.1524468166183,137.38751868269532,94.22868415023635,68.14746872566775,51.43613490248845
PR40059,691.1016447490056,363.69436025577807,214.15485149527638,137.3890420319023,94.22971531410786,68.14820440906232,51.436682477573186
PR40060,691.1095886746589,363.69849340850215,214.15725611390667,137.39056534308207,94.23074645223863,68.14894007409202,51.43723003898887
PR40061,691.1175324020137,363.7026264580534,214.15966067251225,137.39208861623666,94.23177756462985,68.14967572075795,51.43777758673619
PR40062,691.1254759310809,363.70675940443743,214.1620651710964,137.3936118513679,94.23280865128288,68.15041134906096,51.438325120815875
PR40063,691.1334192618688,363.7108922476584,214.16446960966152,137.39513504847758,94.23383971219886,68.15114695900184,51.4388726412285
PR40064,691.141362394389,363.7150249877225,214.16687398821114,137.39665820756778,94.23487074737926,68.15188255058172,51.43942014797486
PR40065,691.1493053286504,363.71915762463436,214.1692783067482,137.3981813286403,94.23590175682534,68.15261812380146,51.4399676410556
PR40066,691.1572480646628,363.7232901583991,214.17168256527532,137.39970441169697,94.23693274053824,68.1533536786618,51.44051512047133
PR40067,691.1651906024367,363.7274225890221,214.1740867637959,137.40122745673983,94.23796369851931,68.15408921516388,51.44106258622284
PR40068,691.1731329419808,363.731554916508,214.1764909023126,137.4027504637706,94.23899463076981,68.15482473330849,51.44161003831073
PR40069,691.181075083307,363.73568714086286,214.17889498082877,137.4042734327915,94.24002553729116,68.1555602330966,51.44215747673576
PR40070,691.1890170264232,363.73981926209103,214.18129899934706,137.40579636380397,94.2410564180845,68.15629571452911,51.4427049014985
PR40071,691.1969587713411,363.74395128019796,214.18370295787076,137.40731925681035,94.24208727315118,68.15703117760694,51.44325231259975
PR40072,691.2049003180691,363.7480831951889,214.18610685640272,137.40884211181225,94.24311810249247,68.157766622331,51.44379971004014
PR40073,691.2128416666174,363.75221500706857,214.18851069494588,137.4103649288116,94.24414890610961,68.15850204870213,51.44434709382034
PR40074,691.2207828169958,363.7563467158425,214.1909144735033,137.41188770781042,94.24517968400397,68.15923745672137,51.44489446394101
PR40075,691.2287237692153,363.7604783215156,214.1933181920781,137.41341044881057,94.2462104361768,68.15997284638962,51.44544182040292
PR40076,691.2366645232851,363.76460982409344,214.19572185067307,137.41493315181384,94.24724116262934,68.16070821770779,51.44598916320669
PR40077,691.2446050792141,363.7687412235807,214.19812544929118,137.41645581682218,94.2482718633629,68.16144357067668,51.446536492353005
PR40078,691.2525454370134,363.7728725199827,214.2005289879355,137.4179784438375,94.2493025383788,68.16217890529737,51.44708380784252
PR40079,691.2604855966929,363.7770037133048,214.20293246660924,137.4195010328619,94.25033318767828,68.16291422157065,51.447631109675996
PR40080,691.2684255582626,363.7811348035518,214.2053358853152,137.4210235838969,94.25136381126265,68.16364951949754,51.448178397854065
PR40081,691.2763653217312,363.7852657907288,214.20773924405626,137.4225460969446,94.25239440913316,68.16438479907885,51.44872567237738
PR40082,691.2843048871091,363.7893966748413,214.21014254283557,137.4240685720069,94.25342498129112,68.16512006031559,51.44927293324665
PR40083,691.2922442544073,363.79352745589426,214.2125457816561,137.42559100908574,94.25445552773783,68.16585530320862,51.44982018046258
PR40084,691.3001834236343,363.7976581338928,214.2149489605207,137.42711340818272,94.2554860484745,68.16659052775884,51.450367414025806
PR40085,691.3081223948002,363.80178870884197,214.21735207943266,137.42863576930012,94.25651654350253,68.16732573396723,51.45091463393706
PR40086,691.316061167915,363.80591918074697,214.2197551383946,137.43015809243963,94.25754701282301,68.16806092183464,51.45146184019697
PR40087,691.3239997429891,363.81004954961327,214.22215813740968,137.4316803776032,94.25857745643742,68.16879609136203,51.452009032806245
PR40088,691.3319381200326,363.81417981544564,214.2245610764811,137.4332026247926,94.25960787434701,68.1695312425503,51.4525562117656
PR40089,691.3398762990541,363.8183099782491,214.2269639556116,137.43472483400996,94.26063826655297,68.17026637540039,51.45310337707565
PR40090,691.3478142800645,363.8224400380293,214.22936677480425,137.43624700525703,94.26166863305667,68.17100148991312,51.453650528737114
PR40091,691.3557520630729,363.8265699947908,214.23176953406187,137.43776913853566,94.2626989738593,68.17173658608954,51.454197666750645
PR40092,691.3636896480903,363.8306998485393,214.23417223338777,137.43929123384788,94.26372928896228,68.17247166393048,51.45474479111698
PR40093,691.3716270351251,363.8348295992796,214.2365748727848,137.44081329119552,94.26475957836675,68.17320672343686,51.455291901836745
PR40094,691.379564224188,363.83895924701665,214.23897745225565,137.4423353105804,94.26578984207401,68.1739417646096,51.45583899891059
PR40095,691.3875012152894,363.84308879175614,214.24137997180378,137.44385729200445,94.26682008008544,68.17467678744958,51.45638608233932
PR40096,691.3954380084392,363.8472182335029,214.24378243143212,137.44537923546972,94.26785029240233,68.17541179195786,51.456933152123526
PR40097,691.4033746036457,363.85134757226183,214.2461848311433,137.4469011409779,94.26888047902577,68.1761467781352,51.45748020826389
PR40098,691.4113110009198,363.8554768080385,214.2485871709406,137.44842300853094,94.26991063995723,68.17688174598254,51.45802725076109
PR40099,691.4192472002719,363.8596059408378,214.25098945082686,137.44994483813076,94.27094077519797,68.17761669550083,51.458574279615846
PR40100,691.4271832017112,363.86373497066506,214.2533916708054,137.4514666297793,94.27197088474918,68.17835162669104,51.45912129482883
PR40101,691.4351190052475,363.867863897525,214.2557938308787,137.45298838347827,94.27300096861222,68.17908653955391,51.45966829640065
PR40102,691.4430546108911,363.87199272142334,214.25819593105007,137.45451009922982,94.27403102678835,68.17982143409057,51.460215284332094
PR40103,691.4509900186508,363.8761214423646,214.26059797132234,137.45603177703566,94.27506105927876,68.18055631030171,51.46076225862376
PR40104,691.4589252285382,363.88025006035423,214.2629999516987,137.45755341689772,94.27609106608486,68.18129116818841,51.46130921927636
PR40105,691.4668602405623,363.8843785753977,214.265401872182,137.45907501881794,94.27712104720797,68.18202600775157,51.4618561662906
PR40106,691.4747950547326,363.88850698749957,214.2678037327753,137.46059658279813,94.27815100264922,68.18276082899206,51.46240309966714
PR40107,691.4827296710591,363.89263529666505,214.27020553348132,137.46211810884023,94.27918093240993,68.18349563191072,51.462950019406605
PR40108,691.4906640895524,363.89676350289983,214.27260727430348,137.46363959694617,94.28021083649145,68.18423041650863,51.46349692550979
PR40109,691.498598310221,363.90089160620846,214.2750089552444,137.46516104711787,94.28124071489498,68.18496518278658,51.464043817977256
PR40110,691.5065323330768,363.9050196065964,214.2774105763075,137.46668245935717,94.28227056762194,68.18569993074556,51.46459069680978
PR40111,691.5144661581276,363.9091475040682,214.27981213749513,137.46820383366577,94.2833003946734,68.1864346603864,51.46513756200795
PR40112,691.5223997853846,363.91327529862974,214.28221363881084,137.46972517004582,94.2843301960508,68.18716937171007,51.46568441357252
PR40113,691.5303332148569,363.91740299028584,214.28461508025725,137.47124646849915,94.28535997175538,68.18790406471749,51.466231251504155
PR40114,691.5382664465546,363.9215305790417,214.28701646183765,137.47276772902768,94.2863897217884,68.18863873940956,51.46677807580352
PR40115,691.5461994804878,363.9256580649021,214.28941778355477,137.47428895163313,94.28741944615115,68.18937339578719,51.46732488647129
PR40116,691.5541323166658,363.9297854478725,214.29181904541156,137.47581013631753,94.28844914484483,68.19010803385123,51.46787168350812
PR40117,691.5620649550988,363.93391272795816,214.29422024741132,137.47733128308283,94.28947881787087,68.19084265360272,51.468418466914756
PR40118,691.5699973957976,363.93803990516403,214.296621389557,137.47885239193084,94.29050846523052,68.19157725504249,51.468965236691844
PR40119,691.57792963877,363.9421669794949,214.29902247185112,137.48037346286338,94.29153808692496,68.1923118381714,51.46951199284004
PR40120,691.5858616840278,363.9462939509567,214.30142349429718,137.4818944958825,94.29256768295556,68.19304640299055,51.470058735360084
PR40121,691.5937935315801,363.950420819554,214.30382445689793,137.4834154909899,94.29359725332358,68.19378094950065,51.4706054642526
PR40122,691.601725181436,363.9545475852917,214.3062253596563,137.48493644818763,94.29462679803027,68.19451547770274,51.47115217951827
PR40123,691.6096566336068,363.9586742481756,214.3086262025755,137.4864573674776,94.29565631707692,68.19524998759766,51.471698881157806
PR40124,691.6175878881013,363.9628008082102,214.31102698565826,137.48797824886157,94.2966858104648,68.1959844791864,51.47224556917189
PR40125,691.6255189449294,363.96692726540095,214.31342770890762,137.4894990923413,94.2977152781952,68.19671895246978,51.472792243561116
PR40126,691.6334498041015,363.9710536197531,214.3158283723268,137.4910198979191,94.29874472026944,68.19745340744879,51.47333890432628
PR40127,691.6413804656272,363.9751798712714,214.31822897591837,137.49254066559655,94.29977413668871,68.19818784412428,51.473885551468015
PR40128,691.6493109295161,363.9793060199613,214.32062951968567,137.49406139537558,94.30080352745438,68.1989222624972,51.474432184986966
PR40129,691.6572411957782,363.9834320658276,214.32303000363152,137.49558208725813,94.30183289256769,68.19965666256843,51.47497880488385
