ID,PA,PB,PC,PD,PE,PF,PG
PR40001,3018.7177792779994,1460.3407445103976,797.4478085018453,478.0195328835958,308.3157689851113,210.85029183557734,151.22632449641907
PR40002,3019.3245390651323,1460.607847817792,797.5816501206826,478.09367478034784,308.36022797505007,210.87870540031213,151.24545557448042
PR40003,3019.9314208104825,1460.8749999796587,797.7155142031568,478.16782817667314,308.4046933759544,210.90712279397488,151.2645890727431
PR40004,3020.538424538564,1461.1422010049337,797.8494007530405,478.2419930743558,308.4491651887488,210.93554401708198,151.28372499151322
PR40005,3021.1455502738945,1461.4094509025542,797.9833097741019,478.3161694751796,308.49364341435785,210.96396907014983,151.30286333109706
PR40006,3021.7527980409977,1461.6767496814596,798.1172412701155,478.39035738092923,308.53812805370626,210.9923979536938,151.3220040918008
PR40007,3022.360167864402,1461.94409735059,798.2511952448519,478.4645567933882,308.58261910771887,211.02083066823042,151.34114727393077
PR40008,3022.9676597686403,1462.211493918888,798.3851717020825,478.53876771434176,308.62711657732075,211.04926721427637,151.36029287779328
PR40009,3023.5752737782514,1462.4789393952974,798.5191706455835,478.6129901455748,308.6716204634369,211.07770759234717,151.37944090369473
PR40010,3024.1830099177773,1462.7464337887661,798.6531920791274,478.6872240888731,308.7161307669927,211.10615180295963,151.39859135194146
PR40011,3024.7908682117672,1463.0139771082365,798.7872360064877,478.7614695460213,308.7606474889135,211.13459984663055,151.41774422283996
PR40012,3025.3988486847734,1463.2815693626596,798.9213024314423,478.83572651880564,308.8051706301248,211.16305172387572,151.43689951669683
PR40013,3026.006951361354,1463.5492105609862,799.0553913577645,478.9099950090123,308.84970019155224,211.19150743521215,151.4560572338183
PR40014,3026.615176266071,1463.816900712168,799.1895027892335,478.9842750184279,308.8942361741217,211.21996698115686,151.47521737451112
PR40015,3027.2235234234936,1464.084639825159,799.3236367296254,479.0585665488385,308.938778578759,211.24843036222583,151.49437993908182
PR40016,3027.8319928581936,1464.3524279089145,799.4577931827164,479.13286960203123,308.98332740639034,211.27689757893626,151.51354492783707
PR40017,3028.4405845947485,1464.6202649723912,799.5919721522878,479.20718417979344,309.02788265794175,211.3053686318054,151.53271234108354
PR40018,3029.0492986577415,1464.888151024548,799.7261736421159,479.281510283913,309.07244433433965,211.33384352134945,151.55188217912794
PR40019,3029.6581350717597,1465.1560860743452,799.8603976559833,479.3558479161768,309.1170124365105,211.3623222480858,151.57105444227705
PR40020,3030.2670938613956,1465.4240701307447,799.994644197669,479.43019707837334,309.1615869653808,211.39080481253194,151.5902291308376
PR40021,3030.8761750512463,1465.6921032027099,800.1289132709526,479.5045577722913,309.2061679218769,211.41929121520423,151.60940624511647
PR40022,3031.485378665915,1465.960185299206,800.2632048796185,479.5789299997186,309.25075530692664,211.44778145662033,151.6285857854205
PR40023,3032.0947047300133,1466.2283164292023,800.3975190274476,479.6533137624443,309.29534912145647,211.47627553729785,151.64776775205664
PR40024,3032.7041532681437,1466.4964966016626,800.5318557182214,479.7277090622577,309.3399493663935,211.50477345775346,151.6669521453318
PR40025,3033.3137243049277,1466.7647258255588,800.6662149557262,479.8021159009486,309.3845560426651,211.53327521850497,151.68613896555297
PR40026,3033.9234178649886,1467.0330041098634,800.8005967437435,479.8765342803059,309.42916915119855,211.56178082007023,151.70532821302717
PR40027,3034.5332339729525,1467.3013314635493,800.935001086061,479.95096420211996,309.4737886929214,211.59029026296608,151.72451988806148
PR40028,3035.143172653452,1467.5697078955916,801.0694279864625,480.02540566818107,309.51841466876135,211.61880354771054,151.743713990963
PR40029,3035.7532339311238,1467.8381334149672,801.2038774487329,480.0998586802802,309.5630470796462,211.64732067482169,151.76291052203896
PR40030,3036.3634178306097,1468.1066080306541,801.3383494766616,480.1743232402073,309.60768592650385,211.67584164481661,151.78210948159634
PR40031,3036.973724376557,1468.3751317516326,801.4728440740332,480.2487993497539,309.6523312102624,211.70436645821349,151.80131086994245
PR40032,3037.5841535936174,1468.643704586884,801.6073612446385,480.3232870107113,309.69698293184996,211.73289511553062,151.82051468738456
PR40033,3038.1947055064475,1468.9123265453916,801.7419009922647,480.3977862248717,309.741641092195,211.7614276172853,151.83972093422994
PR40034,3038.805380139709,1469.1809976361403,801.8764633206998,480.47229699402607,309.7863056922259,211.78996396399629,151.85892961078596
PR40035,3039.416177518069,1469.4497178681167,802.0110482337365,480.54681931996714,309.8309767328712,211.818504156181,151.87814071736
PR40036,3040.027097666199,1469.7184872503087,802.1456557351637,480.6213532044877,309.87565421505974,211.84704819435802,151.89735425425943
PR40037,3040.6381406087758,1469.987305791709,802.2802858287714,480.6958986493798,309.9203381397204,211.87559607904598,151.91657022179174
PR40038,3041.24930637048,1470.256173501304,802.4149385183542,480.77045565643675,309.9650285077821,211.90414781076248,151.9357886202644
PR40039,3041.8605949759994,1470.5250903880888,802.5496138077017,480.845024227452,310.00972532017397,211.93270339002632,151.9550094499849
PR40040,3042.4720064500248,1470.7940564610587,802.6843117006098,480.9196043642195,310.0544285778254,211.96126281735633,151.97423271126092
PR40041,3043.083540817253,1471.06307172921,802.8190322008708,480.99419606853223,310.09913828166566,211.98982609327035,151.99345840439997
PR40042,3043.6951981023853,1471.3321362015404,802.9537753122776,481.0687993421849,310.1438544326243,212.01839321828734,152.01268652970973
PR40043,3044.306978330128,1471.6012498870498,803.0885410386281,481.1434141869719,310.1885770316311,212.04696419292642,152.03191708749787
PR40044,3044.918881525193,1471.8704127947397,803.2233293837152,481.21804060468827,310.2333060796158,212.07553901770555,152.0511500780721
PR40045,3045.5309077122956,1472.1396249336126,803.3581403513379,481.2926785971282,310.2780415775083,212.10411769314396,152.07038550174025
PR40046,3046.143056916158,1472.4088863126735,803.4929739452916,481.3673281660874,310.3227835262387,212.13270021976095,152.0896233588102
PR40047,3046.755329161506,1472.6781969409287,803.6278301693725,481.4419893133615,310.36753192673723,212.16128659807472,152.10886364958952
PR40048,3047.3677244730707,1472.947556827386,803.7627090273817,481.51666204074655,310.4122867799342,212.1898768286047,152.12810637438625
PR40049,3047.980242875589,1473.216965981055,803.8976105231166,481.5913463500379,310.45704808676015,212.21847091187038,152.1473515335083
PR40050,3048.592884393802,1473.486424410947,804.0325346603751,481.6660422430324,310.50181584814567,212.24706884839017,152.16659912726362
PR40051,3049.2056490524546,1473.755932126077,804.1674814429603,481.7407497215271,310.5465900650214,212.27567063868372,152.1858491559602
PR40052,3049.8185368762997,1474.0254891354548,804.3024508746698,481.815468787318,310.59137073831835,212.3042762832707,152.2051016199061
PR40053,3050.431547890092,1474.295095448099,804.4374429593082,481.8901994422029,310.6361578689675,212.3328857826698,152.22435651940935
PR40054,3051.0446821185988,1474.5647510730273,804.572457700676,481.9649416879792,310.68095145789994,212.3614991374008,152.24361385477812
PR40055,3051.657939586575,1474.8344560192593,804.7074951025742,482.0396955264451,310.725751506047,212.39011634798368,152.26287362632053
PR40056,3052.2713203187973,1475.1042102958158,804.842555168809,482.1144609593978,310.77055801434005,212.41873741493725,152.28213583434479
PR40057,3052.8848243400416,1475.37401391172,804.9776379031816,482.1892379886361,310.81537098371075,212.44736233878155,152.3014004791591
PR40058,3053.4984516750887,1475.643866875996,805.1127433094995,482.2640266159585,310.86019041509064,212.47599112003672,152.32066756107176
PR40059,3054.1122023487246,1475.9137691976703,805.2478713915662,482.33882684316444,310.9050163094117,212.5046237592218,152.33993708039105
PR40060,3054.7260763857403,1476.1837208857698,805.3830221531863,482.41363867205223,310.9498486676057,212.53326025685706,152.35920903742533
PR40061,3055.340073810932,1476.4537219493245,805.518195598169,482.48846210442167,310.99468749060486,212.56190061346285,152.378483432483
PR40062,3055.9541946491004,1476.7237723973653,805.6533917303201,482.5632971420725,311.03953277934136,212.5905448295584,152.3977602658726
PR40063,3056.5684389250514,1476.9938722389247,805.788610553446,482.6381437868052,311.0843845347475,212.61919290566422,152.41703953790233
PR40064,3057.182806663596,1477.2640214830396,805.9238520713578,482.71300204041916,311.1292427577559,212.64784484230086,152.43632124888083
PR40065,3057.7972978895496,1477.5342201387411,806.0591162878617,482.78787190471536,311.17410744929913,212.67650063998772,152.45560539911662
PR40066,3058.4119126277337,1477.804468215069,806.1944032067703,482.8627533814951,311.2189786103099,212.70516029924556,152.47489198891833
PR40067,3059.026650902974,1478.0747657210627,806.3297128318924,482.93764647255864,311.26385624172053,212.73382382059512,152.49418101859456
PR40068,3059.6415127401015,1478.3451126657633,806.4650451670376,483.01255117970777,311.30874034446526,212.76249120455606,152.51347248845397
PR40069,3060.256498163951,1478.615509058213,806.6004002160204,483.08746750474427,311.3536309194767,212.79116245164965,152.53276639880522
PR40070,3060.871607199365,1478.8859549074564,806.73577798265,483.16239544947047,311.39852796768804,212.81983756239575,152.55206274995712
PR40071,3061.4868398711883,1479.1564502225392,806.8711784707423,483.2373350156877,311.44343149003276,212.84851653731536,152.57136154221837
PR40072,3062.1021962042714,1479.426995012509,807.0066016841092,483.312286205199,311.4883414874445,212.8771993769296,152.59066277589784
PR40073,3062.7176762234712,1479.697589286415,807.1420476265637,483.3872490198071,311.5332579608568,212.90588608175852,152.60996645130436
PR40074,3063.3332799536474,1479.968233053308,807.2775163019231,483.4622234613155,311.5781809112037,212.93457665232336,152.62927256874684
PR40075,3063.9490074196665,1480.2389263222406,807.4130077140018,483.53720953152674,311.623110339419,212.9632710891454,152.6485811285342
PR40076,3064.564858646399,1480.5096691022668,807.5485218666141,483.61220723224494,311.6680462464369,212.99196939274492,152.6678921309754
PR40077,3065.180833658721,1480.7804614024426,807.6840587635797,483.6872165652739,311.7129886331916,213.02067156364336,152.68720557637948
PR40078,3065.796932481513,1481.051303231828,807.8196184087132,483.76223753241834,311.7579375006175,213.04937760236226,152.7065214650555
PR40079,3066.413155139661,1481.3221945994767,807.9552008058353,483.83727013548184,311.8028928496491,213.07808750942206,152.7258397973126
PR40080,3067.0295016580553,1481.5931355144523,808.0908059587632,483.9123143762696,311.847854681221,213.10680128534443,152.74516057345974
PR40081,3067.6459720615926,1481.8641259858175,808.2264338713148,483.98737025658704,311.892822996268,213.1355189306511,152.7644837938062
PR40082,3068.262566375173,1482.135166022636,808.362084547313,484.06243777823863,311.93779779572515,213.1642404458628,152.78380945866112
PR40083,3068.8792846237025,1482.4062556339736,808.4977579905768,484.13751694303045,311.9827790805273,213.1929658315013,152.80313756833382
PR40084,3069.496126832097,1482.6773948288978,808.633454204926,484.2126077527684,312.0277668516097,213.2216950880886,152.82246812313355
PR40085,3070.1130930252625,1482.948583616478,808.7691731941852,484.28771020925893,312.07276110990773,213.25042821614562,152.84180112336966
PR40086,3070.7301832281246,1483.2198220057844,808.9049149621742,484.3628243143078,312.1177618563568,213.27916521619437,152.8611365693515
PR40087,3071.347397465609,1483.4911100058896,809.0406795127188,484.437950069722,312.16276909189247,213.30790608875708,152.88047446138842
PR40088,3071.964735762647,1483.7624476258677,809.1764668496415,484.51308747730855,312.20778281745055,213.33665083435477,152.89981479978994
PR40089,3072.582198144174,1484.0338348747944,809.3122769767652,484.5882365388752,312.25280303396676,213.3653994535098,152.9191575848655
PR40090,3073.199784635131,1484.305271761747,809.4481098979178,484.6633972562287,312.29782974237725,213.3941519467445,152.93850281692465
PR40091,3073.817495260464,1484.5767582958044,809.5839656169222,484.73856963117726,312.342862943618,213.42290831458018,152.9578504962769
PR40092,3074.435330045124,1484.8482944860505,809.7198441376075,484.81375366552896,312.3879026386254,213.45166855753934,152.9772006232319
PR40093,3075.0532890140666,1485.1198803415618,809.8557454637993,484.88894936109267,312.4329488283357,213.4804326761446,152.99655319809926
PR40094,3075.6713721922533,1485.391515871425,809.9916695993238,484.9641567196762,312.4780015136856,213.5092006709174,153.01590822118865
PR40095,3076.2895796046496,1485.663201084726,810.1276165480122,485.039375743089,312.5230606956117,213.53797254238054,153.0352656928098
PR40096,3076.9079112762265,1485.9349359905523,810.2635863136917,485.1146064331407,312.5681263750508,213.56674829105677,153.05462561327258
PR40097,3077.5263672319597,1486.2067205979924,810.3995789001906,485.1898487916399,312.6131985529398,213.59552791746782,153.07398798288654
PR40098,3078.1449474968313,1486.4785549161375,810.535594311342,485.2651028203969,312.65827723021584,213.6243114221366,153.09335280196163
PR40099,3078.763652095826,1486.7504389540793,810.6716325509739,485.34036852122176,312.7033624078161,213.65309880558613,153.11272007080774
PR40100,3079.382481053936,1487.0223727209125,810.8076936229204,485.4156458959253,312.74845408667784,213.68189006833836,153.13208978973475
PR40101,3080.001434396156,1487.2943562257321,810.9437775310123,485.4909349463173,312.7935522677387,213.7106852109164,153.15146195905263
