ID,PA,PB,PC,PD,PE,PF,PG
PR40001,2980,1440,786,471,303,207,148
PR40002,2981,1440,786,471,303,207,148
PR40003,2981,1440,786,471,303,207,148
PR40004,2982,1441,786,471,303,207,148
PR40005,2983,1441,786,471,303,207,148
PR40006,2983,1441,787,471,303,207,148
PR40007,2984,1441,787,471,303,208,148
PR40008,2984,1442,787,471,303,208,148
PR40009,2985,1442,787,471,303,208,148
PR40010,2986,1442,787,471,303,208,148
PR40011,2986,1443,787,471,303,208,148
PR40012,2987,1443,787,471,303,208,148
PR40013,2988,1443,788,471,303,208,148
PR40014,2988,1443,788,471,303,208,148
PR40015,2989,1444,788,472,303,208,148
PR40016,2989,1444,788,472,303,208,148
PR40017,2990,1444,788,472,304,208,148
PR40018,2991,1444,788,472,304,208,148
PR40019,2991,1445,788,472,304,208,148
PR40020,2992,1445,788,472,304,208,148
PR40021,2992,1445,789,472,304,208,148
PR40022,2993,1445,789,472,304,208,148
PR40023,2994,1446,789,472,304,208,148
PR40024,2994,1446,789,472,304,208,148
PR40025,2995,1446,789,472,304,208,148
PR40026,2995,1447,789,472,304,208,148
PR40027,2996,1447,789,472,304,208,148
PR40028,2997,1447,790,473,304,208,148
PR40029,2997,1447,790,473,304,208,148
PR40030,2998,1448,790,473,304,208,148
PR40031,2998,1448,790,473,304,208,148
PR40032,2999,1448,790,473,304,208,148
PR40033,3000,1448,790,473,304,208,148
PR40034,3000,1449,790,473,304,208,148
PR40035,3001,1449,791,473,304,208,148
PR40036,3002,1449,791,473,304,208,148
PR40037,3002,1449,791,473,304,208,148
PR40038,3003,1450,791,473,304,208,148
PR40039,3003,1450,791,473,305,208,148
PR40040,3004,1450,791,473,305,208,148
PR40041,3005,1451,791,473,305,208,148
PR40042,3005,1451,791,474,305,209,149
PR40043,3006,1451,792,474,305,209,149
PR40044,3006,1451,792,474,305,209,149
PR40045,3007,1452,792,474,305,209,149
PR40046,3008,1452,792,474,305,209,149
PR40047,3008,1452,792,474,305,209,149
PR40048,3009,1452,792,474,305,209,149
PR40049,3009,1453,792,474,305,209,149
PR40050,3010,1453,793,474,305,209,149
PR40051,3011,1453,793,474,305,209,149
PR40052,3011,1454,793,474,305,209,149
PR40053,3012,1454,793,474,305,209,149
PR40054,3013,1454,793,474,305,209,149
PR40055,3013,1454,793,475,305,209,149
PR40056,3014,1455,793,475,305,209,149
PR40057,3014,1455,793,475,305,209,149
PR40058,3015,1455,794,475,305,209,149
