ID,PA,PB,PC,PD,PE,PF,PG
PR40001,2981,1440,786,471,303,208,148
PR40002,2981,1441,787,471,303,208,148
PR40003,2982,1441,787,471,303,208,148
PR40004,2983,1441,787,471,303,208,148
PR40005,2983,1441,787,471,303,208,148
PR40006,2984,1442,787,471,304,208,148
PR40007,2984,1442,787,471,304,208,148
PR40008,2985,1442,787,472,304,208,148
PR40009,2986,1442,788,472,304,208,148
PR40010,2986,1443,788,472,304,208,148
PR40011,2987,1443,788,472,304,208,148
PR40012,2987,1443,788,472,304,208,148
PR40013,2988,1444,788,472,304,208,148
PR40014,2989,1444,788,472,304,208,148
PR40015,2989,1444,788,472,304,208,148
PR40016,2990,1444,788,472,304,208,149
PR40017,2990,1445,789,472,304,208,149
PR40018,2991,1445,789,472,304,208,149
PR40019,2992,1445,789,472,304,208,149
PR40020,2992,1445,789,472,304,208,149
PR40021,2993,1446,789,473,304,208,149
PR40022,2993,1446,789,473,304,208,149
PR40023,2994,1446,789,473,304,208,149
PR40024,2995,1446,790,473,304,209,149
PR40025,2995,1447,790,473,304,209,149
PR40026,2996,1447,790,473,304,209,149
PR40027,2997,1447,790,473,304,209,149
PR40028,2997,1448,790,473,305,209,149
PR40029,2998,1448,790,473,305,209,149
PR40030,2998,1448,790,473,305,209,149
PR40031,2999,1448,790,473,305,209,149
PR40032,3000,1449,791,473,305,209,149
PR40033,3000,1449,791,473,305,209,149
PR40034,3001,1449,791,473,305,209,149
PR40035,3001,1449,791,474,305,209,149
PR40036,3002,1450,791,474,305,209,149
PR40037,3003,1450,791,474,305,209,149
PR40038,3003,1450,791,474,305,209,149
PR40039,3004,1451,792,474,305,209,149
PR40040,3004,1451,792,474,305,209,149
PR40041,3005,1451,792,474,305,209,149
PR40042,3006,1451,792,474,305,209,149
PR40043,3006,1452,792,474,305,209,149
PR40044,3007,1452,792,474,305,209,149
PR40045,3008,1452,792,474,305,209,149
PR40046,3008,1452,792,474,305,209,149
PR40047,3009,1453,793,474,305,209,149
PR40048,3009,1453,793,475,305,209,149
PR40049,3010,1453,793,475,305,209,149
PR40050,3011,1453,793,475,306,209,149
PR40051,3011,1454,793,475,306,209,149
PR40052,3012,1454,793,475,306,209,149
PR40053,3012,1454,793,475,306,209,149
PR40054,3013,1455,794,475,306,209,149
PR40055,3014,1455,794,475,306,209,149
PR40056,3014,1455,794,475,306,209,149
PR40057,3015,1455,794,475,306,209,149
PR40058,3015,1456,794,475,306,209,149
PR40059,3016,1456,794,475,306,210,149
PR40060,3017,1456,794,475,306,210,149
PR40061,3017,1456,795,475,306,210,149
PR40062,3018,1457,795,476,306,210,149
PR40063,3019,1457,795,476,306,210,149
PR40064,3019,1457,795,476,306,210,149
PR40065,3020,1458,795,476,306,210,149
PR40066,3020,1458,795,476,306,210,149
PR40067,3021,1458,795,476,306,210,149
PR40068,3022,1458,795,476,306,210,150
PR40069,3022,1459,796,476,306,210,150
PR40070,3023,1459,796,476,306,210,150
PR40071,3023,1459,796,476,306,210,150
PR40072,3024,1459,796,476,306,210,150
PR40073,3025,1460,796,476,307,210,150
PR40074,3025,1460,796,476,307,210,150
PR40075,3026,1460,796,477,307,210,150
PR40076,3027,1461,797,477,307,210,150
PR40077,3027,1461,797,477,307,210,150
PR40078,3028,1461,797,477,307,210,150
PR40079,3028,1461,797,477,307,210,150
PR40080,3029,1462,797,477,307,210,150
PR40081,3030,1462,797,477,307,210,150
PR40082,3030,1462,797,477,307,210,150
PR40083,3031,1462,797,477,307,210,150
PR40084,3031,1463,798,477,307,210,150
PR40085,3032,1463,798,477,307,210,150
PR40086,3033,1463,798,477,307,210,150
PR40087,3033,1463,798,477,307,210,150
PR40088,3034,1464,798,478,307,210,150
PR40089,3035,1464,798,478,307,210,150
PR40090,3035,1464,798,478,307,210,150
PR40091,3036,1465,799,478,307,210,150
PR40092,3036,1465,799,478,307,210,150
PR40093,3037,1465,799,478,307,210,150
PR40094,3038,1465,799,478,307,211,150
PR40095,3038,1466,799,478,308,211,150
PR40096,3039,1466,799,478,308,211,150
PR40097,3040,1466,799,478,308,211,150
PR40098,3040,1466,800,478,308,211,150
PR40099,3041,1467,800,478,308,211,150
PR40100,3041,1467,800,478,308,211,150
PR40101,3042,1467,800,478,308,211,150
PR40102,3043,1468,800,479,308,211,150
PR40103,3043,1468,800,479,308,211,150
PR40104,3044,1468,800,479,308,211,150
PR40105,3044,1468,800,479,308,211,150
PR40106,3045,1469,801,479,308,211,150
PR40107,3046,1469,801,479,308,211,150
PR40108,3046,1469,801,479,308,211,150
PR40109,3047,1469,801,479,308,211,150
PR40110,3048,1470,801,479,308,211,150
PR40111,3048,1470,801,479,308,211,150
PR40112,3049,1470,801,479,308,211,150
PR40113,3049,1471,802,479,308,211,150
PR40114,3050,1471,802,479,308,211,150
PR40115,3051,1471,802,480,308,211,150
PR40116,3051,1471,802,480,308,211,150
PR40117,3052,1472,802,480,309,211,150
PR40118,3053,1472,802,480,309,211,150
PR40119,3053,1472,802,480,309,211,151
PR40120,3054,1472,803,480,309,211,151
PR40121,3054,1473,803,480,309,211,151
PR40122,3055,1473,803,480,309,211,151
PR40123,3056,1473,803,480,309,211,151
PR40124,3056,1474,803,480,309,211,151
PR40125,3057,1474,803,480,309,211,151
PR40126,3058,1474,803,480,309,211,151
PR40127,3058,1474,803,480,309,211,151
PR40128,3059,1475,804,481,309,211,151
PR40129,3059,1475,804,481,309,212,151
PR40130,3060,1475,804,481,309,212,151
PR40131,3061,1475,804,481,309,212,151
PR40132,3061,1476,804,481,309,212,151
PR40133,3062,1476,804,481,309,212,151
PR40134,3062,1476,804,481,309,212,151
PR40135,3063,1477,805,481,309,212,151
PR40136,3064,1477,805,481,309,212,151
PR40137,3064,1477,805,481,309,212,151
PR40138,3065,1477,805,481,309,212,151
PR40139,3066,1478,805,481,310,212,151
PR40140,3066,1478,805,481,310,212,151
PR40141,3067,1478,805,482,310,212,151
PR40142,3067,1478,806,482,310,212,151
PR40143,3068,1479,806,482,310,212,151
PR40144,3069,1479,806,482,310,212,151
PR40145,3069,1479,806,482,310,212,151
PR40146,3070,1480,806,482,310,212,151
PR40147,3071,1480,806,482,310,212,151
PR40148,3071,1480,806,482,310,212,151
PR40149,3072,1480,807,482,310,212,151
PR40150,3072,1481,807,482,310,212,151
PR40151,3073,1481,807,482,310,212,151
PR40152,3074,1481,807,482,310,212,151
PR40153,3074,1482,807,482,310,212,151
PR40154,3075,1482,807,482,310,212,151
PR40155,3076,1482,807,483,310,212,151
PR40156,3076,1482,807,483,310,212,151
PR40157,3077,1483,808,483,310,212,151
PR40158,3077,1483,808,483,310,212,151
PR40159,3078,1483,808,483,310,212,151
PR40160,3079,1483,808,483,310,212,151
PR40161,3079,1484,808,483,311,212,151
PR40162,3080,1484,808,483,311,212,151
PR40163,3081,1484,808,483,311,213,151
PR40164,3081,1485,809,483,311,213,151
PR40165,3082,1485,809,483,311,213,151
PR40166,3083,1485,809,483,311,213,151
PR40167,3083,1485,809,483,311,213,151
PR40168,3084,1486,809,484,311,213,151
PR40169,3084,1486,809,484,311,213,151
PR40170,3085,1486,809,484,311,213,151
PR40171,3086,1486,810,484,311,213,152
PR40172,3086,1487,810,484,311,213,152
PR40173,3087,1487,810,484,311,213,152
PR40174,3088,1487,810,484,311,213,152
PR40175,3088,1488,810,484,311,213,152
PR40176,3089,1488,810,484,311,213,152
PR40177,3089,1488,810,484,311,213,152
PR40178,3090,1488,810,484,311,213,152
PR40179,3091,1489,811,484,311,213,152
PR40180,3091,1489,811,484,311,213,152
PR40181,3092,1489,811,485,311,213,152
PR40182,3093,1489,811,485,311,213,152
PR40183,3093,1490,811,485,312,213,152
PR40184,3094,1490,811,485,312,213,152
PR40185,3094,1490,811,485,312,213,152
PR40186,3095,1491,812,485,312,213,152
PR40187,3096,1491,812,485,312,213,152
PR40188,3096,1491,812,485,312,213,152
PR40189,3097,1491,812,485,312,213,152
PR40190,3098,1492,812,485,312,213,152
PR40191,3098,1492,812,485,312,213,152
PR40192,3099,1492,812,485,312,213,152
PR40193,3099,1493,813,485,312,213,152
PR40194,3100,1493,813,486,312,213,152
PR40195,3101,1493,813,486,312,213,152
PR40196,3101,1493,813,486,312,213,152
PR40197,3102,1494,813,486,312,213,152
PR40198,3103,1494,813,486,312,214,152
PR40199,3103,1494,813,486,312,214,152
PR40200,3104,1494,814,486,312,214,152
PR40201,3105,1495,814,486,312,214,152
PR40202,3105,1495,814,486,312,214,152
PR40203,3106,1495,814,486,312,214,152
PR40204,3106,1496,814,486,312,214,152
PR40205,3107,1496,814,486,313,214,152
PR40206,3108,1496,814,486,313,214,152
PR40207,3108,1496,814,487,313,214,152
PR40208,3109,1497,815,487,313,214,152
PR40209,3110,1497,815,487,313,214,152
PR40210,3110,1497,815,487,313,214,152
PR40211,3111,1498,815,487,313,214,152
PR40212,3111,1498,815,487,313,214,152
PR40213,3112,1498,815,487,313,214,152
PR40214,3113,1498,815,487,313,214,152
PR40215,3113,1499,816,487,313,214,152
