ID,PA,PB,PC,PD,PE,PF,PG
PR40001,2983,1445,790,473,304,208,149
PR40002,2984,1445,790,473,304,208,149
PR40003,2984,1445,790,473,304,208,149
PR40004,2985,1446,790,473,304,208,149
PR40005,2986,1446,790,473,304,208,149
PR40006,2986,1446,791,473,304,208,149
PR40007,2987,1446,791,473,304,209,149
PR40008,2987,1447,791,473,304,209,149
PR40009,2988,1447,791,473,304,209,149
PR40010,2989,1447,791,473,304,209,149
PR40011,2989,1448,791,473,304,209,149
PR40012,2990,1448,791,473,304,209,149
PR40013,2991,1448,792,473,304,209,149
PR40014,2991,1448,792,473,304,209,149
PR40015,2992,1449,792,474,304,209,149
PR40016,2992,1449,792,474,304,209,149
PR40017,2993,1449,792,474,305,209,149
PR40018,2994,1449,792,474,305,209,149
PR40019,2994,1450,792,474,305,209,149
PR40020,2995,1450,792,474,305,209,149
PR40021,2995,1450,793,474,305,209,149
PR40022,2996,1450,793,474,305,209,149
PR40023,2997,1451,793,474,305,209,149
PR40024,2997,1451,793,474,305,209,149
PR40025,2998,1451,793,474,305,209,149
PR40026,2998,1452,793,474,305,209,149
PR40027,2999,1452,793,474,305,209,149
PR40028,3000,1452,794,475,305,209,149
PR40029,3000,1452,794,475,305,209,149
PR40030,3001,1453,794,475,305,209,149
PR40031,3001,1453,794,475,305,209,149
PR40032,3002,1453,794,475,305,209,149
PR40033,3003,1453,794,475,305,209,149
PR40034,3003,1454,794,475,305,209,149
PR40035,3004,1454,795,475,305,209,149
PR40036,3005,1454,795,475,305,209,149
PR40037,3005,1454,795,475,305,209,149
PR40038,3006,1455,795,475,305,209,149
PR40039,3006,1455,795,475,306,209,149
PR40040,3007,1455,795,475,306,209,149
PR40041,3008,1456,795,475,306,209,149
PR40042,3008,1456,795,476,306,210,150
PR40043,3009,1456,796,476,306,210,150
PR40044,3009,1456,796,476,306,210,150
PR40045,3010,1457,796,476,306,210,150
PR40046,3011,1457,796,476,306,210,150
PR40047,3011,1457,796,476,306,210,150
PR40048,3012,1457,796,476,306,210,150
PR40049,3012,1458,796,476,306,210,150
PR40050,3013,1458,797,476,306,210,150
PR40051,3014,1458,797,476,306,210,150
PR40052,3014,1459,797,476,306,210,150
PR40053,3015,1459,797,476,306,210,150
PR40054,3016,1459,797,476,306,210,150
PR40055,3016,1459,797,477,306,210,150
PR40056,3017,1460,797,477,306,210,150
PR40057,3017,1460,797,477,306,210,150
PR40058,3018,1460,798,477,306,210,150
PR40059,3019,1460,798,477,306,210,150
PR40060,3019,1461,798,477,306,210,150
PR40061,3020,1461,798,477,306,210,150
PR40062,3020,1461,798,477,307,210,150
PR40063,3021,1461,798,477,307,210,150
PR40064,3022,1462,798,477,307,210,150
PR40065,3022,1462,799,477,307,210,150
PR40066,3023,1462,799,477,307,210,150
PR40067,3024,1463,799,477,307,210,150
PR40068,3024,1463,799,478,307,210,150
PR40069,3025,1463,799,478,307,210,150
PR40070,3025,1463,799,478,307,210,150
PR40071,3026,1464,799,478,307,210,150
PR40072,3027,1464,800,478,307,210,150
PR40073,3027,1464,800,478,307,210,150
PR40074,3028,1464,800,478,307,210,150
PR40075,3028,1465,800,478,307,210,150
PR40076,3029,1465,800,478,307,210,150
PR40077,3030,1465,800,478,307,211,150
PR40078,3030,1466,800,478,307,211,150
PR40079,3031,1466,800,478,307,211,150
PR40080,3032,1466,801,478,307,211,150
PR40081,3032,1466,801,478,307,211,150
PR40082,3033,1467,801,479,307,211,150
PR40083,3033,1467,801,479,307,211,150
PR40084,3034,1467,801,479,308,211,150
PR40085,3035,1467,801,479,308,211,150
PR40086,3035,1468,801,479,308,211,150
PR40087,3036,1468,802,479,308,211,150
PR40088,3036,1468,802,479,308,211,150
PR40089,3037,1469,802,479,308,211,150
PR40090,3038,1469,802,479,308,211,150
PR40091,3038,1469,802,479,308,211,150
PR40092,3039,1469,802,479,308,211,150
PR40093,3040,1470,802,479,308,211,150
PR40094,3040,1470,802,479,308,211,151
PR40095,3041,1470,803,480,308,211,151
PR40096,3041,1470,803,480,308,211,151
PR40097,3042,1471,803,480,308,211,151
PR40098,3043,1471,803,480,308,211,151
PR40099,3043,1471,803,480,308,211,151
PR40100,3044,1472,803,480,308,211,151
PR40101,3045,1472,803,480,308,211,151
PR40102,3045,1472,804,480,308,211,151
PR40103,3046,1472,804,480,308,211,151
PR40104,3046,1473,804,480,308,211,151
PR40105,3047,1473,804,480,308,211,151
PR40106,3048,1473,804,480,309,211,151
PR40107,3048,1473,804,480,309,211,151
PR40108,3049,1474,804,481,309,211,151
PR40109,3049,1474,805,481,309,211,151
PR40110,3050,1474,805,481,309,211,151
PR40111,3051,1475,805,481,309,211,151
PR40112,3051,1475,805,481,309,212,151
PR40113,3052,1475,805,481,309,212,151
PR40114,3053,1475,805,481,309,212,151
PR40115,3053,1476,805,481,309,212,151
PR40116,3054,1476,805,481,309,212,151
PR40117,3054,1476,806,481,309,212,151
PR40118,3055,1476,806,481,309,212,151
PR40119,3056,1477,806,481,309,212,151
PR40120,3056,1477,806,481,309,212,151
PR40121,3057,1477,806,481,309,212,151
PR40122,3058,1478,806,482,309,212,151
PR40123,3058,1478,806,482,309,212,151
PR40124,3059,1478,807,482,309,212,151
PR40125,3059,1478,807,482,309,212,151
PR40126,3060,1479,807,482,309,212,151
PR40127,3061,1479,807,482,309,212,151
PR40128,3061,1479,807,482,310,212,151
PR40129,3062,1479,807,482,310,212,151
PR40130,3063,1480,807,482,310,212,151
PR40131,3063,1480,808,482,310,212,151
PR40132,3064,1480,808,482,310,212,151
PR40133,3064,1481,808,482,310,212,151
PR40134,3065,1481,808,482,310,212,151
PR40135,3066,1481,808,483,310,212,151
PR40136,3066,1481,808,483,310,212,151
PR40137,3067,1482,808,483,310,212,151
PR40138,3067,1482,808,483,310,212,151
PR40139,3068,1482,809,483,310,212,151
PR40140,3069,1482,809,483,310,212,151
PR40141,3069,1483,809,483,310,212,151
PR40142,3070,1483,809,483,310,212,151
PR40143,3071,1483,809,483,310,212,151
PR40144,3071,1484,809,483,310,212,151
PR40145,3072,1484,809,483,310,212,152
PR40146,3072,1484,810,483,310,213,152
PR40147,3073,1484,810,483,310,213,152
PR40148,3074,1485,810,484,310,213,152
PR40149,3074,1485,810,484,310,213,152
PR40150,3075,1485,810,484,311,213,152
PR40151,3076,1485,810,484,311,213,152
PR40152,3076,1486,810,484,311,213,152
PR40153,3077,1486,811,484,311,213,152
PR40154,3077,1486,811,484,311,213,152
PR40155,3078,1487,811,484,311,213,152
PR40156,3079,1487,811,484,311,213,152
PR40157,3079,1487,811,484,311,213,152
PR40158,3080,1487,811,484,311,213,152
PR40159,3081,1488,811,484,311,213,152
PR40160,3081,1488,812,484,311,213,152
PR40161,3082,1488,812,485,311,213,152
PR40162,3082,1488,812,485,311,213,152
PR40163,3083,1489,812,485,311,213,152
PR40164,3084,1489,812,485,311,213,152
PR40165,3084,1489,812,485,311,213,152
PR40166,3085,1490,812,485,311,213,152
PR40167,3086,1490,812,485,311,213,152
PR40168,3086,1490,813,485,311,213,152
PR40169,3087,1490,813,485,311,213,152
PR40170,3088,1491,813,485,311,213,152
PR40171,3088,1491,813,485,311,213,152
PR40172,3089,1491,813,485,312,213,152
PR40173,3089,1492,813,485,312,213,152
PR40174,3090,1492,813,486,312,213,152
PR40175,3091,1492,814,486,312,213,152
PR40176,3091,1492,814,486,312,213,152
PR40177,3092,1493,814,486,312,213,152
PR40178,3093,1493,814,486,312,213,152
PR40179,3093,1493,814,486,312,213,152
PR40180,3094,1493,814,486,312,213,152
PR40181,3094,1494,814,486,312,214,152
PR40182,3095,1494,815,486,312,214,152
PR40183,3096,1494,815,486,312,214,152
